iter	Passed	Remaining
0	150	150143
1	151	75417
2	151	50483
3	152	38011
4	153	30536
5	154	25557
6	155	22008
7	156	19357
8	157	17310
9	158	15644
10	158	14291
11	159	13160
12	160	12196
13	161	11368
14	162	10648
15	163	10028
16	163	9476
17	164	8990
18	165	8551
19	166	8154
20	167	7790
21	167	7460
22	168	7158
23	169	6882
24	170	6646
25	171	6430
26	172	6233
27	174	6041
28	174	5858
29	175	5688
30	176	5526
31	177	5373
32	178	5231
33	179	5098
34	180	4970
35	181	4854
36	182	4742
37	183	4638
38	184	4540
39	185	4445
40	186	4358
41	187	4272
42	188	4192
43	189	4117
44	190	4039
45	191	3968
46	192	3898
47	193	3832
48	194	3766
49	194	3704
50	195	3646
51	196	3590
52	198	3538
53	198	3485
54	199	3432
55	200	3382
56	201	3333
57	202	3287
58	203	3244
59	204	3199
60	205	3158
61	206	3120
62	207	3081
63	208	3045
64	209	3009
65	210	2973
66	211	2945
67	212	2911
68	213	2878
69	214	2851
70	215	2821
71	216	2791
72	217	2765
73	218	2739
74	219	2712
75	220	2686
76	222	2661
77	222	2634
78	223	2611
79	225	2588
80	225	2563
81	227	2541
82	227	2514
83	228	2493
84	229	2474
85	230	2454
86	231	2432
87	232	2414
88	234	2396
89	234	2375
90	235	2356
91	236	2338
92	238	2321
93	239	2307
94	240	2290
95	241	2272
96	242	2254
97	243	2239
98	244	2222
99	245	2206
100	246	2190
101	247	2175
102	248	2161
103	249	2145
104	249	2130
105	250	2116
106	251	2101
107	253	2089
108	254	2076
109	254	2062
110	255	2050
111	257	2039
112	258	2027
113	259	2014
114	260	2003
115	261	1991
116	262	1977
117	262	1965
118	263	1953
119	264	1942
120	265	1930
121	266	1918
122	267	1908
123	268	1897
124	269	1887
125	270	1877
126	271	1865
127	272	1855
128	273	1848
129	274	1838
130	275	1827
131	276	1818
132	277	1808
133	278	1798
134	279	1789
135	280	1779
136	281	1770
137	282	1761
138	282	1752
139	283	1743
140	284	1734
141	285	1724
142	286	1715
143	287	1708
144	288	1700
145	289	1692
146	290	1684
147	291	1678
148	292	1670
149	293	1663
150	294	1656
151	295	1648
152	296	1641
153	297	1633
154	298	1627
155	299	1620
156	300	1614
157	301	1607
158	302	1600
159	303	1593
160	304	1584
161	305	1577
162	305	1570
163	306	1562
164	307	1555
165	308	1548
166	308	1540
167	309	1533
168	310	1526
169	311	1519
170	311	1511
171	312	1504
172	313	1497
173	314	1492
174	315	1485
175	315	1478
176	316	1471
177	317	1464
178	317	1457
179	318	1451
180	319	1446
181	320	1440
182	321	1434
183	322	1428
184	322	1422
185	323	1416
186	324	1411
187	325	1405
188	326	1401
189	327	1395
190	328	1389
191	328	1384
192	329	1378
193	330	1373
194	331	1368
195	332	1363
196	333	1359
197	334	1353
198	335	1349
199	336	1344
200	337	1339
201	337	1334
202	338	1329
203	339	1324
204	340	1319
205	341	1314
206	341	1309
207	342	1305
208	343	1301
209	344	1295
210	345	1290
211	345	1285
212	346	1281
213	347	1277
214	348	1272
215	349	1268
216	350	1263
217	351	1259
218	351	1255
219	352	1250
220	353	1246
221	354	1241
222	355	1237
223	355	1232
224	356	1228
225	357	1224
226	358	1220
227	359	1216
228	360	1213
229	361	1210
230	362	1207
231	363	1204
232	365	1201
233	366	1200
234	367	1197
235	368	1194
236	369	1190
237	370	1187
238	372	1185
239	373	1181
240	374	1179
241	375	1175
242	376	1173
243	378	1171
244	379	1168
245	380	1165
246	381	1161
247	381	1158
248	382	1154
249	383	1151
250	384	1148
251	385	1144
252	387	1142
253	389	1142
254	390	1141
255	392	1139
256	393	1137
257	394	1135
258	396	1134
259	399	1136
260	400	1134
261	402	1133
262	403	1130
263	404	1128
264	405	1125
265	407	1125
266	409	1123
267	411	1122
268	412	1120
269	413	1117
270	414	1115
271	416	1113
272	417	1111
273	418	1109
274	419	1106
275	420	1104
276	422	1101
277	423	1099
278	424	1097
279	425	1094
280	426	1091
281	427	1089
282	429	1086
283	430	1084
284	431	1082
285	432	1079
286	433	1077
287	434	1074
288	436	1072
289	437	1070
290	438	1067
291	439	1065
292	440	1062
293	441	1059
294	442	1057
295	443	1054
296	444	1052
297	445	1050
298	447	1048
299	448	1045
300	449	1043
301	451	1044
302	452	1042
303	454	1039
304	455	1037
305	456	1035
306	457	1033
307	458	1030
308	459	1028
309	461	1026
310	462	1024
311	463	1021
312	464	1019
313	465	1017
314	467	1016
315	468	1014
316	469	1012
317	471	1010
318	473	1010
319	474	1009
320	476	1007
321	477	1005
322	478	1002
323	479	1000
324	480	998
325	483	998
326	485	998
327	486	996
328	487	994
329	489	993
330	490	991
331	491	989
332	492	986
333	493	984
334	495	982
335	496	980
336	498	980
337	499	978
338	501	977
339	502	975
340	504	974
341	505	973
