iter	Passed	Remaining
0	1	1061
1	2	1150
2	3	1106
3	4	1073
4	7	1440
5	9	1534
6	11	1588
7	12	1509
8	13	1436
9	14	1388
10	15	1355
11	16	1379
12	17	1361
13	24	1693
14	26	1733
15	27	1706
16	29	1709
17	31	1712
18	32	1674
19	33	1651
20	34	1618
21	37	1657
22	39	1690
23	41	1682
24	42	1656
25	43	1628
26	44	1599
27	46	1604
28	48	1622
29	50	1640
30	53	1670
31	55	1665
32	56	1644
33	57	1624
34	58	1606
35	59	1595
36	60	1575
37	61	1561
38	62	1550
39	66	1600
40	68	1600
41	69	1593
42	71	1583
43	72	1571
44	73	1554
45	74	1535
46	75	1523
47	76	1508
48	76	1493
49	77	1478
50	80	1497
51	81	1490
52	82	1481
53	84	1479
54	85	1470
55	87	1474
56	89	1472
57	89	1461
58	90	1451
59	91	1439
60	92	1426
61	94	1428
62	96	1438
63	98	1439
64	99	1430
65	100	1419
66	101	1408
67	101	1397
68	103	1389
69	103	1380
70	104	1370
71	105	1362
72	106	1355
73	107	1346
74	109	1346
75	111	1350
76	112	1348
77	113	1341
78	114	1332
79	115	1323
80	115	1315
81	116	1308
82	117	1296
83	118	1289
84	119	1281
85	119	1274
86	120	1268
87	121	1260
88	123	1267
89	126	1279
90	127	1274
91	128	1266
92	129	1260
93	130	1254
94	130	1247
95	131	1241
96	132	1235
97	133	1229
98	134	1222
99	135	1216
100	136	1210
101	138	1219
102	140	1224
103	141	1222
104	142	1217
105	143	1212
106	144	1206
107	145	1201
108	146	1195
109	147	1189
110	147	1184
111	148	1179
112	149	1173
113	150	1169
114	151	1164
115	152	1163
116	154	1165
117	155	1164
118	156	1161
119	158	1160
120	159	1157
121	160	1153
122	161	1150
123	162	1146
124	163	1143
125	164	1141
126	165	1140
127	168	1150
128	170	1151
129	171	1148
130	172	1145
131	173	1142
132	174	1139
133	176	1138
134	177	1135
135	178	1132
136	181	1140
137	183	1145
138	184	1144
139	185	1140
140	186	1137
141	187	1132
142	188	1129
143	189	1126
144	190	1123
145	191	1120
146	192	1119
147	195	1127
148	198	1134
149	199	1132
150	200	1128
151	201	1126
152	203	1124
153	204	1121
154	205	1119
155	206	1117
156	207	1114
157	209	1115
158	211	1118
159	212	1118
160	213	1114
161	214	1111
162	216	1110
163	217	1107
164	218	1105
165	219	1103
166	220	1099
167	221	1097
168	224	1103
169	226	1106
170	228	1106
171	229	1104
172	230	1101
173	231	1098
174	232	1096
175	233	1092
176	234	1090
177	235	1087
178	236	1086
179	239	1091
180	241	1092
181	242	1091
182	244	1089
183	245	1088
184	246	1085
185	247	1084
186	249	1083
187	250	1081
188	251	1078
189	253	1080
190	256	1084
191	257	1083
192	258	1081
193	259	1079
194	260	1076
195	262	1075
196	263	1072
197	264	1071
198	266	1071
199	270	1082
200	272	1082
